"author","display_name_alternatives","year"
Fergus McNeill,"[""F. McNeill"", ""Fergus Mcneill"", ""F Mcneill"", ""Fergus McNeill"", ""Fergus McNEILL""]",2008
Nicola Burns,"[""Nicky Burns"", ""N Burns"", ""Nicola Burns"", ""N. R. Burns"", ""N. Burns""]",2008
Cyrus Tata,"[""Cyrus Tata"", ""C. M. Tata"", ""C. Tata""]",2008
Didi Herman,"[""D. Herman"", ""D Onov A N S Herman"", ""Didi Herman""]",1995
Martin Bowley,"[""Martin Bowley""]",1995
Katherine O'Donovan,"[""O'Donovan Katherine"", ""Katherine O'donovan"", ""Katherine O'Donovan"", ""Katherine O’Donovan"", ""K O'Donovan""]",1990
Deborah L. Rhode,"[""Deborah L. Rhode"", ""D.L. Rhode"", ""D. L. Rhode"", ""Deborah L Rhode"", ""Deborah Rhode"", ""D. Rhode"", ""D Rhode""]",1990
Jacob Eisler,"[""Jacob Eisler"", ""Jacob Morse Eisler"", ""J. Eisler""]",2020
John P. McCulloch,"[""John P. McCulloch""]",2013
Daniela Bifulco,"[""Daniela Bifulco"", ""D. Bifulco""]",2018
Angelo Golia,"[""Angelo Golia"", ""Angelo Jr Golia"", ""Angelo Jr. Golia""]",2018
Margaret A. Costello,"[""Margaret A. Costello""]",2012
Niall Vivian,"[""Niall Vivian""]",2020
Jane Williams,"[""J. Mark Williams"", ""J. Mark G. Williams"", ""J. M. G. Williams"", ""J M. G Williams"", ""J.M.G. Williams"", ""J Williams"", ""J.M.G Williams"", ""J. M. Williams"", ""J. Williams"", ""Jane M Williams"", ""Jane Williams"", ""J M Williams"", ""Jane M. Williams"", ""J Mark G Williams"", ""J.Mark G. Williams"", ""J.M. Williams""]",2020
Chris Gill,"[""Christian Olivier Anderson Gill"", ""C Gill"", ""C. Gill"", ""Chris Gill"", ""C.D. Gill"", ""Christian Gill""]",2020
Naomi Creutzfeldt,"[""Naomi Creutzfeldt-Banda"", ""Naomi J. Creutzfeldt"", ""Naomi Creutzfeldt"", ""N Creutzfeldt"", ""N. Creutzfeldt""]",2020
Ivan Ermakoff,"[""I. Ermakoff"", ""Ivan Ermakoff"", ""IVAN ERMAKOFF""]",2020
Edward Kirton-Darling,"[""Edward Kirton-Darling"", ""Edward Kirton‐Darling""]",2020
Tracey Varnava,"[""Tracey Varnava""]",2020
Helen Carr,"[""Carr Helen"", ""Helen Carr"", ""Helen P. Carr"", ""H. Carr"", ""H Carr"", ""Helen P Carr"", ""Helen Cooke Carr"", ""Helen Sorayya Carr""]",2020
Anthony Bradney,"[""A. G. D. Bradney"", ""Anthony Bradney"", ""A. Bradney""]",2020
Fiona Cownie,"[""F. Cownie"", ""Fiona Cownie""]",2020
Marc D. Joffe,"[""Marc Joffe"", ""M Joffe"", ""Marc D. Joffe"", ""Marc David Joffe""]",2015
Edward Littlejohn,"[""Edward Littlejohn"", ""Edward J. Littlejohn""]",2018
Edward Littlejohn,"[""Edward Littlejohn"", ""Edward J. Littlejohn""]",2018
Cesare Pinelli,"[""Cesare Pinelli"", ""C. Pinelli""]",2018
Marilyn Strathern,"[""Marilyn Strathern"", ""MARILYN STRATHERN"", ""M. Strathern"", ""M Strathern""]",1985
Brian Hudson,"[""B Hudson"", ""Brian Hudson"", ""B. Hudson"", ""Brian. Hudson"", ""Brain Hudson"", ""Barbara A Hudson"", ""Barbara Anne Hudson"", ""Barbara A. Hudson"", ""Brian J. Hudson"", ""Barbara Hudson"", ""Gerard""]",1998
Nikolas Rose,"[""N Rose"", ""NIKOLAS ROSE"", ""Nikolas Simon Rose"", ""N. Rose"", ""Nikolas S. Rose"", ""Nikolas Rose"", ""Nikolas S Rose"", ""N.S. Rose""]",1987
Roger Cotterrell,"[""Roger Cotterrell"", ""Roger B. M. Cotterrell"", ""Roger B.M. Cotterrell"", ""R Cotterrell"", ""ROGER COTTERRELL""]",1998
Martin Lodge,"[""M Lodge"", ""Martin C. E. Lodge"", ""Martin. Lodge"", ""Martin C Lodge"", ""Martin Lodge"", ""M. Lodge""]",2001
Lindsay Stirton,"[""Lindsay James Stirton"", ""Lindsay Stirton"", ""L. J. Stirton"", ""Lindsay J Stirton""]",2001
D. Vick,"[""D W Vick"", ""Douglas Vick"", ""Douglas W. Vick"", ""D. Vick"", ""Douglas W Vick"", ""Doug Vick"", ""D Vick"", ""Doug W. Vick""]",2004
Davina Cooper,"[""Davina Cooper"", ""D. Cooper"", ""Davina Sarah Cooper"", ""DAVINA COOPER""]",1995
Carol Smart,"[""C. Smart"", ""Carol Smart"", ""CAROL SMART"", ""C. F. Smart""]",1990
Daniel Muzio,"[""Daniel Muzio"", ""D Muzio"", ""D. Muzio"", ""Muzio Daniel""]",2005
Stephen Ackroyd,"[""S. Ackroyd"", ""Stephen Ackroyd"", ""S Ackroyd""]",2005
Anna Bryson,"[""Anna Bryson"", ""ANNA BRYSON"", ""A Bryson"", ""A. Bryson""]",2021
