year,author
2001,Richard Mullender
2004,Richard Nobles; David Schiff
1993,Richard Rawlings
2015,Richard Rawlings
1998,Richard Rawlings
2003,Richard W. Ireland
2013,Ritu Birla
2000,Robert A. Hillman
1995,Robert A. Kagan
2016,Robert Baldwin; Julia Black
1995,Robert Cooter
2006,Robert Dunbar
1985,Robert East; Helen Power; Philip A. Thomas
1985,Robert East; Philip A. Thomas
1994,Robert Fine
1999,Robert G. Lee
2005,Robert G. Lee
2013,Robert Home
2007,Robert Jupe
1988,Robert Lee; Derek Morgan
2009,Robert Lee; Elen Stokes
2009,Robert Lee; Terry Marsden
1991,Robert Miles
1989,Robert Miles
1987,Robert Spjut
1991,Robin Churchill
1991,Robin Churchill; John Gibson; Lynda M. Warren
1991,Robin Grove-White
1992,Rod Morgan
2002,Rod Morgan
2009,Roderick A. MacDonald
1986,Roger B. M. Cotterrell
2008,Roger Bowles; Michael Faure; Nuno Garoupa
1995,Roger Brownsword
2012,Roger Brownsword
1996,Roger Brownsword
1994,Roger Brownsword
1984,Roger Brownsword
2007,Roger Burridge; David Ormandy
1999,Roger Cotterrell
2004,Roger Cotterrell
1998,Roger Cotterrell
2002,Roger Cotterrell
1996,Roger Cotterrell
1987,Roger Cotterrell
1988,Roger Cotterrell
1983,Roger Cotterrell
1992,Roger Cotterrell
2013,Roger Cotterrell
2009,Roger Cotterrell
2013,Roger Cotterrell
1988,Roger Cotterrell; Brian Bercusson
1990,Roger Crisp
1990,Roger Smith
2005,Roger Smith
1996,Roger Smith
1984,Roman Tomasic
2005,Ron Levi
2010,Ronald Weitzer
1986,Rose Pearson
2015,ROSEANNE RUSSELL
2015,Rosemary Auchmuty
2003,Rosemary Hunter
2014,ROSS CRANSTON
2001,Ross Worthington
1992,Russell Campbell
2009,Russell Sandberg
2005,Ruth Costigan; Philip A. Thomas
2008,Ruth Dukes
2001,Ruth Fletcher
1985,S. C. Redhead
1990,S. C. Smith
2013,Sabine Frerichs
1990,Sally Guttmacher
2016,SALLY LLOYD-BOSTOCK
1991,Sally Lloyd-Bostock
1999,Sally Sheldon
1997,Sally Wheeler
2013,Sally Wheeler
1991,Sally Wheeler
1994,Sally Wheeler
1999,Sally Wheeler
2001,Samantha Velutti
2007,Samera Esmeir
1994,Sammy Adelman
2001,Sarah Blandy; David Robinson
2006,Scott Veitch
2005,Shami Chakrabarti
1995,Shari Seidman Diamond
1992,Sharyn L. Roach Anleu
2005,Sharyn Roach Anleu; Kathy Mack
1990,Sheila A. M. McLean
1995,Sheila Duncan
2001,Shelley Day Sclater; Christine Piper
2016,Shuangge Wen
1997,Simon Chesterman
1997,Simon Deakin; Alan Hughes
1994,Simon Deakin; Christel Lane; Frank Wilkinson
1992,Simon Deakin; Frank Wilkinson
1997,Simon Deakin; Giles Slinger
1999,Simon Deakin; Stephen Pratten
2012,SIMON GLAZE
1995,Simon Halliday
2000,Simon Halliday
2008,Simon Halliday; Nicola Burns; Neil Hutton; Fergus McNeill; Cyrus Tata
1994,Simon Jolly
2008,Simon Mackenzie
2013,Siôn Jenkins
2012,SIÔN JENKINS
2000,Sol Picciotto
2002,Sol Picciotto
1988,Sol Picciotto
1999,Sol Picciotto; Jason Haines
2008,Sonia Harris-Short
2001,Stefan Machura; Peter Robson
2001,Stefan Machura; Stefan Ulbrich; Francis M. Nevins; Nils Behling
1991,Stephen Joseph
1984,Stephen Parker
1990,Stephen Sedley
2005,Stephen Sedley
2011,STEPHEN SEDLEY
2003,Stephen Skinner
2001,Steve Greenfield
2007,Steve Redhead
1998,Steve Tombs
1984,Steve Uglow
2014,STEVEN CAMMISS
1995,Steven Greer
1988,Steven Greer
1994,Steven Greer
2007,Steven Vaughan
2011,STEVEN VAUGHAN
1990,Stewart Field
1994,Stewart Field
1989,Stewart Field
2006,Stewart Field
1994,Stewart Field; Philip A. Thomas
1995,Stewart MacAulay
1995,Stewart MacAulay
2007,Stewart Motha
2007,Stewart Motha
2008,Stijn Smismans
1988,Stuart A. Scheingold
2009,Stuart Bell; Laurence Etherington
1995,Sue Bandalli
2002,Sue Bowden; Geoffrey Tweedale
1986,Susan B. Boyd; Elizabeth A. Sheehy
1991,Susan Bright; Maurice Sunkin
1984,Susan Edwards
2007,Susan M. C. Gibbons; Jane Kaye; Andrew Smart; Catherine Heeney; Michael Parker
1985,Susan Miller
1989,Susie Gibson
2002,Suzanne Ost
2016,Sylvia de Mars; Patrick O'Callaghan
1982,T. C. Daintith
1998,T. W. Bennett
1983,Tamar Pitch
2003,Tamara Goriely
1994,Tamara Goriely
1997,Teresa Ghilarducci; James Hawley; Andrew Williams
1995,Thérèse Murphy
1987,Thomas Gibbons
1983,Thomas Mathiesen
2005,Thomas Poole
2004,Thomas Poole
1986,Tim Kaye
1987,Tim Kaye
2002,Tim Murphy
2013,TIM ROWSE
2011,TIM ROWSE
1989,Timothy H. Jones
2016,Toby Seddon
2008,Tola Amodu
2005,Tom Baker
2010,TOM CAMPBELL
1999,Tom Campbell
1990,Tom D. Campbell
1995,Tom Horlick-Jones
2014,Tom Mullen
2005,Tom Mullen; Jim Murdoch; Alan Miller; Sarah Craig
2003,Tom Zwart
2002,Tonia Novitz
1985,Tony Bunyan
1989,Tony Jefferson
2015,Tony Porter; Karsten Ronit
1982,Tony Prosser
1988,Tony Prosser
1995,Tony Prosser
2006,Tony Prosser
2006,Tony Ward
1990,Tony Ward
2012,Tony Ward
2004,Tony Ward
2007,Tshepo Madlingozi
1991,Ulrich K. Preuss
2004,Ulrike Hahn
2008,Upendra Baxi
2012,URFAN KHALIQ
2006,Urfan Khaliq
2008,Val Gillies
1992,Valerio Pocar
2008,Vanessa E. Munro
2001,Vanessa E. Munro
2000,Vaughan Lowe
1990,Vaughan Lowe
2009,Veerle Heyvaert
2014,Veronique Magnier
2008,Vibeke Lehmann Nielsen; Christine Parker
2013,Vicki Lens; Astraea Augsberger; Andrea Hughes; Tina Wu
2012,Victor Toom
1989,Vincent Porter
2004,Vincenzo Ferrari
1996,Vincenzo Ruggiero
2002,Violaine Roussel
2015,Virginia Mantouvalou
1995,Volkmar Gessner
1995,Wade Mansell
1991,Wade Mansell
1996,Wade Mansell
2004,Wade Mansell
1994,Wade Mansell; Joanne Scott
1985,Warwick Inquest Group
1992,Wendy Addison; Fiona Cownie
1987,Willem de Haan
1989,Willem de Haan; Jos Silvis; Philip A. Thomas
1991,Willem de Haan; Jos Silvis; Philip A. Thomas
2005,William A. Schabas
1991,William Howarth
1983,William J. Chambliss
1984,William Twining
2005,William Twining
1995,William Twining
1998,William Twining
2005,William Twining
1984,William Twining
2010,WILLIAM TWINING
1998,William Twining
2014,Wim Huisman; Hans Nelen
2012,Xin He
2008,Yash Ghai
2011,YASSIN M'BOGE; JOHN JACKSON
2009,Yuval Feldman; Oren Perez
